"filename", "language", "C++", "Log", "CMake", "JSON", "CMake Cache", "TypeScript", "Makefile", "C", "comment", "blank", "total"
"d:\program\cpp\leetcode\build\CMakeFiles\2283-min-time.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2283-min-time.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2367-three-diff.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2367-three-diff.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2367-three-diff.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2368-nums-node.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2368-nums-node.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2368-nums-node.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2369-legal-partition.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2369-legal-partition.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2369-legal-partition.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2370-longest-ideal-sequence.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2370-longest-ideal-sequence.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2370-longest-ideal-sequence.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2384-max-num.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2384-max-num.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2384-max-num.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\2385-tree.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\2385-tree.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\2385-tree.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CMakeCCompiler.cmake", "CMake", 0, 0, 55, 0, 0, 0, 0, 0, 0, 18, 73
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CMakeCXXCompiler.cmake", "CMake", 0, 0, 64, 0, 0, 0, 0, 0, 0, 20, 84
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CMakeRCCompiler.cmake", "CMake", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CMakeSystem.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 16
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 628, 0, 0, 0, 0, 0, 0, 0, 63, 136, 827
"d:\program\cpp\leetcode\build\CMakeFiles\3.24.0-rc3\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 640, 61, 138, 839
"d:\program\cpp\leetcode\build\CMakeFiles\307-range-sum-query.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\307-range-sum-query.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\307-range-sum-query.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\307-range.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\307-range.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\307-range.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\315-count-smaller.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\315-count-smaller.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\315-count-smaller.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\327-count-range-sum.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\327-count-range-sum.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\327-count-range-sum.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\378-kth-smallest.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\378-kth-smallest.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\378-kth-smallest.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\419-count-ships.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\419-count-ships.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\419-count-ships.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\49-group-anagrams.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\49-group-anagrams.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\49-group-anagrams.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\493-reverse-pair.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\program\cpp\leetcode\build\CMakeFiles\493-reverse-pair.dir\cmake_clean.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\program\cpp\leetcode\build\CMakeFiles\493-reverse-pair.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\program\cpp\leetcode\build\CMakeFiles\667-construct-array.dir\DependInfo.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
